x,alpha0.1,alpha0.5,alpha1.0,alpha2.0,alpha5.0,alpha10.0
-1.3999999999999995,-1.3955578057113904,-1.307823714446327,-1.1624979541645613,-1.0296712881627945,-1.000089140774952,-1.0000000041209245
-1.3899999999999995,-1.3857172406623954,-1.300935221421366,-1.1596345402714776,-1.0293605497251044,-1.0000889658540986,-1.0000000041206183
-1.3799999999999994,-1.3758739570453222,-1.2940051913339525,-1.1567200997510865,-1.0290372290220093,-1.0000887725366938,-1.0000000041202444
-1.3699999999999994,-1.3660279734281555,-1.2870335969869597,-1.153753854985899,-1.028700820774034,-1.0000885588879638,-1.0000000041197876
-1.3599999999999994,-1.3561793083998726,-1.280020415037303,-1.1507350215588124,-1.028350799758457,-1.0000883227696538,-1.0000000041192296
-1.3499999999999994,-1.3463279805703035,-1.2729656260460411,-1.1476628084010323,-1.027986620051035,-1.000088061818629,-1.0000000041185482
-1.3399999999999994,-1.336474008569998,-1.2658692145281902,-1.1445364179505084,-1.0276077142413171,-1.0000877734232245,-1.000000004117716
-1.3299999999999994,-1.3266174110500881,-1.2587311690022167,-1.1413550463212097,-1.0272134926208258,-1.0000874546971077,-1.0000000041166994
-1.3199999999999994,-1.3167582066821502,-1.2515514820391962,-1.1381178834835535,-1.026803342343399,-1.0000871024503903,-1.000000004115458
-1.3099999999999994,-1.306896414158069,-1.2443301503116089,-1.1348241134563144,-1.0263766265569767,-1.000086713157707,-1.0000000041139414
-1.2999999999999994,-1.2970320521898993,-1.237067174641749,-1.1314729145103328,-1.0259326835061255,-1.0000862829229307,-1.0000000041120891
-1.2899999999999994,-1.2871651395097279,-1.2297625600497244,-1.128063459384352,-1.0254708256046008,-1.0000858074401835,-1.000000004109827
-1.2799999999999994,-1.2772956948695366,-1.2224163158010268,-1.124594915513301,-1.0249903384772536,-1.000085281950742,-1.0000000041070636
-1.2699999999999994,-1.2674237370410621,-1.2150284554536397,-1.1210664452693542,-1.0244904799706083,-1.000084701195415,-1.0000000041036885
-1.2599999999999993,-1.2575492848156582,-1.2075989969046672,-1.1174772062160827,-1.0239704791314461,-1.0000840593619094,-1.0000000040995665
-1.2499999999999993,-1.2476723570041557,-1.200127962436454,-1.1138263513760247,-1.0234295351527567,-1.0000833500266637,-1.0000000040945314
-1.2399999999999993,-1.237792972436724,-1.192615378762176,-1.1101130295119885,-1.022866816286444,-1.0000825660905643,-1.0000000040883819
-1.2299999999999993,-1.2279111499627302,-1.1850612770708706,-1.1063363854224064,-1.0222814587221984,-1.0000816997079005,-1.0000000040808705
-1.2199999999999993,-1.2180269084505992,-1.177465693071886,-1.1024955602510482,-1.02167256543199,-1.0000807422078497,-1.0000000040716963
-1.2099999999999993,-1.208140266787674,-1.1698286670387281,-1.0985896918114044,-1.0210392049796715,-1.0000796840077057,-1.000000004060491
-1.1999999999999993,-1.1982512438800739,-1.1621502438522635,-1.094617914926038,-1.0203804102952303,-1.000078514516984,-1.0000000040468047
-1.1899999999999993,-1.1883598586525537,-1.1544304730432726,-1.090579361781198,-1.0196951774132863,-1.00007722203144,-1.000000004030088
-1.1799999999999993,-1.1784661300483625,-1.146669408834314,-1.0864731622969894,-1.0189824641754839,-1.000075793615948,-1.0000000040096706
-1.1699999999999993,-1.168570077029102,-1.13886711018088,-1.08229844451337,-1.0182411888965084,-1.0000742149750605,-1.0000000039847325
-1.1599999999999993,-1.1586717185745847,-1.1310236408118115,-1.0780543349922511,-1.0174702289935265,-1.0000724703099604,-1.000000003954273
-1.1499999999999992,-1.1487710736826904,-1.1231390692689533,-1.0737399592359589,-1.0166684195789404,-1.0000705421603706,-1.0000000039170698
-1.1399999999999992,-1.1388681613692246,-1.1152134689460211,-1.0693544421223065,-1.0158345520164465,-1.0000684112298428,-1.0000000038716295
-1.1299999999999992,-1.1289630006677764,-1.1072469181266493,-1.0648969083565119,-1.0149673724404908,-1.0000660561926766,-1.0000000038161287
-1.1199999999999992,-1.119055610629574,-1.099239500021599,-1.0603664829401862,-1.0140655802393443,-1.0000634534805413,-1.00000000374834
-1.1099999999999992,-1.1091460103233404,-1.0911913028051015,-1.0557622916575973,-1.0131278265021437,-1.0000605770466606,-1.0000000036655428
-1.0999999999999992,-1.099234218835152,-1.0831024196503,-1.0510834615794034,-1.0121527124303986,-1.0000573981052119,-1.0000000035644137
-1.0899999999999992,-1.0893202552682932,-1.0749729487637802,-1.0463291215840302,-1.0111387877146225,-1.0000538848433276,-1.0000000034408945
-1.0799999999999992,-1.0794041387431115,-1.0668029934191448,-1.041498402896846,-1.0100845488769241,-1.000050002102823,-1.0000000032900278
-1.0699999999999992,-1.069485888396874,-1.0585926619896244,-1.0365904396472732,-1.0089884375805926,-1.0000457110284706,-1.000000003105759
-1.0599999999999992,-1.0595655233836219,-1.0503420679796835,-1.031604369443949,-1.0078488389079134,-1.0000409686793075,-1.0000000028806924
-1.0499999999999992,-1.0496430628740248,-1.0420513300556034,-1.0265393339680287,-1.0066640796076929,-1.0000357275990894,-1.0000000026057951
-1.0399999999999991,-1.0397185260552368,-1.0337205720750164,-1.0213944795846965,-1.005432426314214,-1.0000299353416051,-1.0000000022700353
-1.0299999999999991,-1.0297919321307492,-1.0253499231153609,-1.0161689579729287,-1.0041520837396198,-1.0000235339461097,-1.000000001859937
-1.0199999999999991,-1.0198633003202449,-1.0169395175012366,-1.010861926773524,-1.00282119284202,-1.0000164593576386,-1.0000000013590422
-1.0099999999999991,-1.0099326498594523,-1.0084894948306318,-1.0054725502553827,-1.0014378289719295,-1.000008640786422,-1.0000000007472476
-0.9999999999999991,-0.9999999999999991,-0.9999999999999991,-0.9999999999999997,-0.9999999999999999,-1.0,-1.0
-0.9899999999999991,-0.9900653700092649,-0.9914711832281538,-0.9944434556040833,-0.9985056444293711,-0.9999904505409871,-0.9999999990873099
-0.9799999999999991,-0.9801287791702336,-0.9829032000789668,-0.988802105400204,-0.996952629496376,-0.9999798968626802,-0.9999999979725476
-0.9699999999999991,-0.9701902467813475,-0.9742962114828368,-0.9830751471953191,-0.9953387492637561,-0.9999682333738974,-0.9999999966109737
-0.9599999999999991,-0.9602497921563585,-0.9656503837569069,-0.9772617890269976,-0.9936617227110109,-0.999955343383535,-0.9999999949479438
-0.9499999999999991,-0.9503074346241814,-0.9569658886240083,-0.9713612499371282,-0.9919191918269958,-0.9999410979343272,-0.9999999929167145
-0.9399999999999991,-0.9403631935287441,-0.9482429032303056,-0.9653727607628495,-0.99010871971041,-0.9999253545142096,-0.9999999904357654
-0.929999999999999,-0.9304170882288407,-0.9394816101616204,-0.9592955649444058,-0.9882277886843788,-0.9999079556324644,-0.9999999874055272
-0.919999999999999,-0.9204691380979825,-0.9306821974584092,-0.9531289193495884,-0.9862737984319336,-0.9998887272464977,-0.9999999837043859
-0.909999999999999,-0.9105193625242488,-0.9218448586293763,-0.9468720951143753,-0.9842440641598263,-0.9998674770236244,-0.9999999791838019
-0.899999999999999,-0.900567780910138,-0.9129697926636955,-0.9405243784993383,-0.9821358147987899,-0.9998439924206092,-0.9999999736623482
-0.889999999999999,-0.8906144126724187,-0.9040572040418221,-0.9340850717613456,-0.9799461912490689,-0.999818038561923,-0.9999999669184293
-0.879999999999999,-0.8806592772419789,-0.8951073027448712,-0.9275534940400267,-0.977672244680796,-0.9997893558956986,-0.9999999586813882
-0.869999999999999,-0.8707023940636786,-0.8861203042625437,-0.9209289822584318,-0.9753109348995826,-0.9997576576041937,-0.9999999486206438
-0.859999999999999,-0.860743782596196,-0.8770964295995809,-0.9142108920372563,-0.9728591287885205,-0.9997226267431686,-0.9999999363324228
-0.849999999999999,-0.8507834623118814,-0.8680359052807199,-0.907398598621953,-0.9703135988386686,-0.9996839130819497,-0.999999921323556
-0.839999999999999,-0.8408214526966034,-0.858938963354145,-0.9004914978220073,-0.9676710217810043,-0.9996411296130369,-0.999999902991685
-0.829999999999999,-0.8308577732496003,-0.8498058413933981,-0.893489006961583,-0.964927977333769,-0.9995938486969191,-0.9999998806010878
-0.819999999999999,-0.8208924434833277,-0.8406367824977482,-0.8863905658407085,-0.962080947080125,-0.9995415978042369,-0.9999998532531511
-0.8099999999999989,-0.8109254829233078,-0.831432035290989,-0.8791956377061033,-0.9591263134920578,-0.9994838548135642,-0.9999998198503068
