x,t,d1,d5,d20,d40
0.00024991242536771493,98,0.0002561403435809332,0.00025461882959022374,0.00028208746730276797,-0.30515337005840465
0.00017625125424737895,99,9.567656397943336e-05,0.0001817061627907245,0.0032621230154279268,-0.2299852857653381
0.0001234098040866756,100,0.00015423594469241264,0.00012873213517592135,0.005982149493668782,-0.14944489983503856
8.579069562068603e-05,101,2.201536830537864e-05,9.054626472997768e-05,0.00819177453624612,-0.06542472708762101
5.921119080918544e-05,102,0.00010139447691789495,6.322761846139197e-05,0.009688457942494842,0.020105783478382464
4.057331392320051e-05,103,-1.56037527003125e-05,4.3825748855385845e-05,0.010334739531685743,0.10513608616296474
2.7602616196641754e-05,104,7.481496324656016e-05,3.0148735792462898e-05,0.010070697381953276,0.18766071774698107
1.8643742331516157e-05,105,-3.424163579892259e-05,2.058480794269535e-05,0.008920008551622435,0.2657386156797117
1.2502274127540922e-05,106,6.184426119643579e-05,1.3954568821344284e-05,0.006987660509920907,0.3375431465877597
8.323730718234747e-06,107,-4.320051265033927e-05,9.396390367348502e-06,0.004448813903140131,0.40139796113739046
5.501993922834465e-06,108,5.570279094530462e-05,6.284348343796963e-06,0.0015310027695300053,0.45581212653341213
3.6107321303164294e-06,109,-4.7379057452493156e-05,4.171015007452759e-06,-0.0015070167637738175,0.4995157317160833
2.3525752000096748e-06,110,5.288105320932547e-05,2.7441048370684167e-06,-0.0043976204076914705,0.5314904358163135
1.5218254343663097e-06,111,-4.9270319875431746e-05,1.7894133479246589e-06,-0.006886905460772863,0.5509934206482772
9.773705338967918e-07,112,5.16228958596331e-05,1.1591187577416813e-06,-0.008756374719177649,0.5575746624523934
6.231989669781964e-07,113,-5.010106991799168e-05,7.484088529484328e-07,-0.009842070375844496,0.5510873101236907
3.945184222626679e-07,114,5.1078440777678626e-05,4.819768755416779e-07,-0.01004955757565007,0.5316909560398796
2.479596018044913e-07,115,-5.0455241602967454e-05,3.0774838305299387e-07,-0.009363222363861261,0.4998477275442249
1.5472755133121672e-07,116,5.084976015673626e-05,1.9281163245052246e-07,-0.00784821167939898,0.45631129578027535
9.585779938783735e-08,117,-5.060180047227857e-05,1.1807513470875449e-07,-0.0056439840998523515,0.40210906291197795
5.8960388492568834e-08,118,5.075652807518563e-05,7.186983738005422e-08,-0.002950303077377523,0.33851791430176503
